name,scene,method,seed,start_wall,finish_wall,launcher_exit_code,finished,status,retrieval,confirmed,D_exec,windows,location_changes,active_sim_s,ground_sim_s,task_sim_s,first_confirmation_sim_s,policy_wall_s,worker_observe_wall_s,first_terminal_cause,failure_stage,selected_source,arrival_xy_error_m,arrival_yaw_error_rad,uav_active_distance_m,physical_target_lift_m,human_control_intervention,execution_screen,ground_navigation,ground_refine,refined_pregrasp,descend,close,lift,retention,deficit_solver_wall_s,reference_scope
slot-01-easy003-deficit,eval-easy-003,deficit,1259243681,1789215355.9661288,1789215773.0501294,0,True,VALID_TRIAL,True,True,True,2,1,75.14099999999999,100.513,225.151,60.401999999999994,44.284899545949884,52.13929899199866,,,584,0.054995207399230105,0.06549965014522563,,0.1490817292574376,False,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,0.004275451006833464,cross_batch_development_shared_components_not_randomized_same_commit_pair
slot-02-hard023-deficit,eval-hard-023,deficit,1636798150,1789215789.714656,1789216284.3839033,0,True,VALID_TRIAL,True,True,True,3,2,116.38499999999999,101.03199999999998,280.464,100.631,77.24059558805311,87.96304454497295,,,500,0.058924025626030115,0.06528492183511325,,0.14909977991056883,False,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,0.0061641649808734655,cross_batch_development_shared_components_not_randomized_same_commit_pair
slot-03-moderate009-deficit,eval-moderate-009,deficit,2099544331,1789216342.2244942,1789216735.556256,0,True,VALID_TRIAL,True,True,True,2,1,67.162,93.13300000000001,218.58,53.403000000000006,42.695421484997496,50.27474088902818,,,585,0.05898263914497119,0.0708533157056781,,0.14870959903801437,False,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,SUCCEEDED,0.0032800089684315026,cross_batch_development_shared_components_not_randomized_same_commit_pair
slot-04-hard015-deficit,eval-hard-015,deficit,1395226981,1789216766.5107424,1789217008.289994,0,True,VALID_TRIAL,False,False,False,3,1,81.95000000000002,,119.375,,49.55915929598268,60.97673933097394,A5 stopped (VIEW_BUDGET_REACHED) without a confirmed exact candidate,active,,,,4.618882203903343,,False,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,NOT_REACHED,0.008946980000473559,cross_batch_development_shared_components_not_randomized_same_commit_pair
