cohort,task,scene,method,success,role,snapshots
old212,133,eval-hard-003,ours,False,primary,3
old212,134,eval-hard-003,generic,False,primary,2
old212,135,eval-hard-003,no_occlusion,False,secondary_ablation,3
old212,136,eval-hard-003,no_cost,False,secondary_ablation,3
old212,137,eval-easy-030,ours,True,primary,2
old212,138,eval-easy-030,generic,True,primary,3
old212,139,eval-easy-001,generic,True,primary,3
old212,140,eval-easy-001,ours,True,primary,3
old212,141,eval-easy-001,fixed,False,secondary_baseline,1
old212,142,eval-easy-001,rm4d_only,True,secondary_baseline,0
old212,143,eval-moderate-006,generic,True,primary,3
old212,144,eval-moderate-006,ours,True,primary,2
old212,145,eval-moderate-012,ours,True,primary,2
old212,146,eval-moderate-012,generic,True,primary,3
old212,147,eval-moderate-019,ours,True,primary,2
old212,148,eval-moderate-019,generic,True,primary,3
old212,149,eval-hard-016,generic,False,primary,3
old212,150,eval-hard-016,ours,True,primary,3
old212,151,eval-hard-001,generic,False,primary,0
old212,152,eval-hard-001,ours,False,primary,0
old212,153,eval-hard-001,no_cost,False,secondary_ablation,0
old212,154,eval-hard-001,fixed,False,secondary_baseline,3
old212,155,eval-hard-001,no_occlusion,False,secondary_ablation,0
old212,156,eval-hard-001,rm4d_only,False,secondary_baseline,0
old212,157,eval-easy-028,generic,False,primary,3
old212,158,eval-easy-028,ours,False,primary,3
old212,159,eval-hard-019,ours,True,primary,3
old212,160,eval-hard-019,generic,False,primary,3
old212,161,eval-easy-021,generic,True,primary,2
old212,162,eval-easy-021,ours,True,primary,2
old212,163,eval-moderate-027,generic,False,primary,2
old212,164,eval-moderate-027,ours,True,primary,2
old212,165,eval-easy-010,ours,False,primary,2
old212,166,eval-easy-010,generic,True,primary,3
old212,167,eval-moderate-005,ours,True,primary,2
old212,168,eval-moderate-005,generic,True,primary,3
old212,169,eval-moderate-017,generic,False,primary,3
old212,170,eval-moderate-017,ours,False,primary,3
old212,171,eval-hard-021,generic,False,primary,3
old212,172,eval-hard-021,ours,True,primary,3
old212,173,eval-easy-008,generic,True,primary,3
old212,174,eval-easy-008,ours,True,primary,2
old212,175,eval-moderate-007,ours,True,primary,2
old212,176,eval-moderate-007,generic,True,primary,2
old212,177,eval-easy-017,ours,True,primary,2
old212,178,eval-easy-017,generic,True,primary,3
old212,179,eval-hard-025,ours,False,primary,3
old212,180,eval-hard-025,generic,False,primary,3
old212,181,eval-easy-025,ours,True,primary,3
old212,182,eval-easy-025,generic,True,primary,3
old212,183,eval-hard-005,generic,False,primary,3
old212,184,eval-hard-005,ours,False,primary,3
old212,185,eval-moderate-014,ours,True,primary,3
old212,186,eval-moderate-014,generic,True,primary,3
old212,187,eval-easy-007,ours,True,primary,2
old212,188,eval-easy-007,generic,True,primary,3
old212,189,eval-easy-022,generic,True,primary,2
old212,190,eval-easy-022,ours,True,primary,2
old212,191,eval-hard-013,ours,True,primary,3
old212,192,eval-hard-013,generic,False,primary,3
old212,193,eval-moderate-021,generic,False,primary,3
old212,194,eval-moderate-021,ours,True,primary,3
old212,195,eval-easy-032,ours,True,primary,2
old212,196,eval-easy-032,generic,True,primary,3
old212,197,eval-hard-029,generic,False,primary,3
old212,198,eval-hard-029,ours,True,primary,3
