candidate_id,bunker_x,bunker_y,bunker_yaw,rm4d_reachable,ik_valid,collision_free,footprint_collision,joint_margin_rad,fk_position_residual_m,fk_orientation_residual_rad,field_relevance,valid,rejection_reason
candidate-000000,2.468320292067572,-0.4674736939095841,-3.141592653589793,True,True,True,False,0.6564431118364142,7.15749512893306e-16,8.62678528222365e-16,1.0,True,
candidate-000001,2.466041455019403,-0.4935209205596237,2.9670597283903604,True,True,True,False,0.6564431118364134,3.692639165456277e-16,9.577611321139587e-16,1.0,True,
candidate-000002,2.459274185185459,-0.5187767154084346,2.7925268031909276,True,True,True,False,0.6564431118364129,3.2487068343022356e-16,8.263970536599676e-16,1.0,True,
candidate-000003,2.4482241026352374,-0.5424736939095838,2.617993877991494,True,True,True,False,0.6564431118364125,1.5700924586837752e-16,3.5064278184345543e-16,1.0,True,
candidate-000004,2.466041455019404,-0.4414264672595442,-2.9670597283903604,True,True,True,False,1.08185846352007,2.3055512673781017e-16,2.9926031100396483e-16,1.0,True,
candidate-000005,2.433226958535419,-0.5638918353625652,2.443460952792061,True,True,True,False,0.6564431118364129,5.881301029635769e-16,5.30506575621226e-16,1.0,True,
candidate-000006,2.414738433520553,-0.5823803603774302,2.2689280275926285,True,True,True,False,0.656443111836412,2.1898779786837934e-16,7.545913729004261e-16,1.0,True,
candidate-000007,2.4592741851854596,-0.4161706724107338,-2.7925268031909276,True,True,True,False,0.707862642875356,5.266250202865052e-16,3.946235671685964e-15,1.0,True,
candidate-000008,2.393320292067572,-0.5973775044772501,2.094395102393195,True,True,True,False,0.6564431119317478,4.277601662880304e-11,2.8247901911181388e-11,1.0,True,
candidate-000009,2.3696233135664224,-0.6084275870274709,1.919862177193762,True,True,True,False,0.6564431118520577,1.4304461122864439e-11,6.1341514666496324e-12,1.0,True,
candidate-000010,2.448224102635238,-0.39247369390958436,-2.617993877991494,True,True,True,False,0.656443111830662,3.1559115307790214e-11,4.353155066486445e-13,1.0,True,
candidate-000011,2.3443675187176116,-0.6151948568614151,1.7453292519943293,True,True,True,False,0.6564431118387044,7.606186710347465e-12,1.4463922797093755e-12,1.0,True,
candidate-000012,2.4332269585354194,-0.37105555245660327,-2.443460952792062,True,True,True,False,1.0818584635201318,1.2544108448416281e-13,1.4680281560685653e-14,1.0,True,
candidate-000013,2.3183202920675727,-0.6174736939095837,1.5707963267948966,True,True,True,False,0.6564431118359448,3.861850638149976e-12,2.55087340613505e-13,1.0,True,
candidate-000014,2.4147384335205535,-0.35256702744173796,-2.268928027592629,True,True,True,False,1.081858463520071,3.2957919968262575e-16,4.196601311660448e-16,1.0,True,
candidate-000015,2.292273065417533,-0.6151948568614152,1.3962634015954638,True,True,True,False,0.6564431118352814,7.906490210050133e-12,3.6860682305632697e-13,1.0,True,
candidate-000016,2.393320292067573,-0.3375698833419184,-2.0943951023931957,True,True,True,False,0.6564431118364138,1.0011263372118013e-15,1.7498970636115995e-15,1.0,True,
candidate-000017,2.2670172705687226,-0.6084275870274705,1.221730476396031,True,True,True,False,0.6564431118364125,5.822058658345461e-16,8.433262496109134e-16,1.0,True,
candidate-000018,2.3677874581009712,-0.06760727959769959,-3.141592653589793,True,True,True,False,0.5154582464475799,2.8441001681421824e-16,5.078174828124733e-16,1.0,True,
candidate-000019,2.3655086210528022,-0.09365450624773909,2.9670597283903604,True,False,False,False,0.5427641435912887,3.921015392510342e-15,6.300167040037539e-15,0.0,False,ik_no_valid_solution
candidate-000020,2.358741351218858,-0.11891030109655013,2.7925268031909276,True,True,True,False,0.4076006676904269,9.301303977381312e-11,8.58304276882454e-12,0.8152013353808538,True,
candidate-000021,2.3677208427611323,-0.017607323973754276,-3.141592653589793,True,True,True,False,0.8843673854293028,1.986996825864056e-16,1.0238450412956857e-15,1.0,True,
candidate-000022,2.369623313566423,-0.3265198007916977,-1.9198621771937623,True,True,True,False,1.0818584635200676,2.5523059071936082e-15,1.5683995906289423e-15,1.0,True,
candidate-000023,2.243320292067572,-0.59737750447725,1.0471975511965974,True,True,True,False,0.6564431118364125,5.367457578043797e-15,4.603537335135691e-15,1.0,True,
candidate-000024,2.347691268668637,-0.14260727959769975,2.617993877991494,True,True,True,False,0.23306774265182106,6.718707955729214e-14,2.055792553089963e-14,0.4661354853036421,True,
candidate-000025,2.3654420057129633,-0.04365455062379381,2.9670597283903604,True,True,True,False,0.3542835924250176,5.4323970816324795e-11,1.7165894256548016e-12,0.7085671848500352,True,
candidate-000026,2.3655086210528022,-0.04156005294766005,-2.9670597283903604,True,True,True,False,0.11451974865544212,7.319744501993542e-12,1.7142029266699845e-12,0.22903949731088424,True,
candidate-000027,2.3586747358790188,-0.06891034547260473,2.7925268031909276,True,True,True,False,0.22517671772258563,1.576213700060856e-16,7.953131148102844e-16,0.45035343544517126,True,
candidate-000028,2.332694124568818,-0.1640254210506803,2.443460952792061,True,True,True,False,0.9137810401751971,2.776294974351541e-13,5.114450119616267e-14,1.0,True,
candidate-000029,2.3476246533287974,-0.092607323973754,2.617993877991494,True,True,True,False,0.8843673853818319,1.8006340631446417e-11,8.510394900520938e-12,1.0,True,
candidate-000030,2.3443675187176116,-0.31975253095775336,-1.745329251994329,True,True,True,False,1.0818584635200714,5.985173094038516e-16,3.925866931352442e-16,1.0,True,
candidate-000031,2.365442005712964,0.008439902676285343,-2.9670597283903604,True,True,True,False,0.35428359257005093,2.4708698718685164e-16,7.519116651340659e-16,0.7085671851401019,True,
candidate-000032,2.314205599553951,-0.18251394606554583,2.2689280275926285,True,True,True,False,0.9137810401760107,3.4359788356585895e-16,7.177116269423732e-16,1.0,True,
candidate-000033,2.221902150614592,-0.5823803603774311,0.8726646259971647,True,True,True,False,0.656443111836138,8.435295706065395e-13,5.191553535946899e-14,1.0,True,
candidate-000034,2.332627509228979,-0.11402546542673501,2.443460952792061,True,True,True,False,0.8843673854129426,5.232546294761393e-12,2.4960902608395757e-12,1.0,True,
candidate-000035,2.3587413512188578,-0.016304258098849188,-2.7925268031909276,True,True,True,False,0.11451974863467429,3.2911718309488017e-12,7.923642074341194e-13,0.22903949726934858,True,
candidate-000036,2.292787458100971,-0.1975110901653651,2.094395102393195,True,True,True,False,0.11451974861836023,1.3360988953210285e-13,3.2887166185494575e-14,0.22903949723672046,True,
candidate-000037,2.3183202920675723,-0.3174736939095844,-1.5707963267948963,True,True,True,False,1.0818584635200712,2.603703785810335e-16,4.662913278484829e-16,1.0,True,
candidate-000038,2.3141389842141127,-0.13251399044160073,2.2689280275926285,True,True,True,False,0.35428359276110344,3.5211105809663776e-11,8.409234160571635e-12,0.7085671855222069,True,
candidate-000039,2.3586747358790183,0.03369569752509605,-2.7925268031909276,True,True,True,False,0.3542835925700527,4.596460756922437e-16,6.471692184580665e-16,0.7085671851401054,True,
candidate-000040,2.203413625599725,-0.5638918353625653,0.6981317007977319,True,True,True,False,0.6564431118250353,3.6541738967216363e-11,1.8095715857364627e-12,1.0,True,
candidate-000041,2.269090479599821,-0.20856117271558622,1.919862177193762,True,True,True,False,0.26187709179145147,5.8069406181784584e-11,5.035290721792758e-12,0.5237541835829029,True,
candidate-000042,2.0176545380536766,0.03192632427131918,-3.141592653589793,True,True,True,False,0.5935106508531711,6.030453728774642e-16,3.955844122917737e-16,1.0,True,
candidate-000043,2.2927208427611316,-0.14751113454142004,2.094395102393195,True,True,True,False,0.2697696767637323,1.6557950953630956e-10,1.4347515388353151e-11,0.5395393535274646,True,
candidate-000044,2.3476912686686364,0.007392720402300379,-2.617993877991494,True,True,True,False,0.11451974862474446,1.3736711200088905e-12,3.131771292517753e-13,0.2290394972494889,True,
candidate-000045,2.2922730654175334,-0.3197525309577532,-1.3962634015954636,True,True,True,False,0.5379611899714392,2.237726045655905e-16,7.964851075043608e-16,1.0,True,
candidate-000046,2.0153757010055076,0.00587909762127958,2.9670597283903604,True,True,True,False,0.5934940872703622,1.4964743286224848e-15,2.156452638211056e-15,1.0,True,
candidate-000047,2.2438346847510107,-0.21532844254953049,1.7453292519943293,True,True,True,False,0.9137810401760134,1.2412670766236366e-16,3.961463054475097e-16,1.0,True,
candidate-000048,2.2690238642599816,-0.1585612170916408,1.919862177193762,True,True,True,False,0.8843673854292935,3.403200304649593e-15,1.4233635045097877e-15,1.0,True,
