slot,scene,seed,method,tier,status,retrieval_success,selected_attempt,invalid_activation_count,D_env_applicable,first_discovery_window,D_env,D_exec,C_env_count_final,C_env_count_max,T_first_env_sim,T_active_sim,T_task_sim,T_exec_ready_sim,metrics_terminal_status,failure_stage,failure_reason,capture_calls,discarded_windows,completed_windows,voted_windows,sensing_visits,sensing_rescans,nbv_moves,initial_outbound,return_actions,uav_active_distance_m,uav_active_complete,uav_active_missing_samples,uav_active_gap_count,uav_active_observed_distance_lower_bound_m,uav_total_distance_m,uav_total_complete,uav_total_missing_samples,uav_total_gap_count,uav_total_observed_distance_lower_bound_m,ground_total_distance_m,ground_total_complete,ground_total_missing_samples,ground_total_gap_count,ground_total_observed_distance_lower_bound_m,stage_preflight_status,stage_preflight_duration_sim_s,stage_takeoff_status,stage_takeoff_duration_sim_s,stage_initial_view_status,stage_initial_view_duration_sim_s,stage_aerial_observe_status,stage_aerial_observe_duration_sim_s,stage_initial_query_status,stage_initial_query_duration_sim_s,stage_active_status,stage_active_duration_sim_s,stage_return_status,stage_return_duration_sim_s,stage_landing_status,stage_landing_duration_sim_s,stage_ground_navigation_status,stage_ground_navigation_duration_sim_s,stage_ground_refine_status,stage_ground_refine_duration_sim_s,stage_refined_pregrasp_status,stage_refined_pregrasp_duration_sim_s,stage_descend_status,stage_descend_duration_sim_s,stage_close_status,stage_close_duration_sim_s,stage_lift_status,stage_lift_duration_sim_s,stage_retention_status,stage_retention_duration_sim_s
368,easy-027,163216851,fixed,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,hard-027,1389146525,ours,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,hard-027,1389146525,fixed,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,hard-027,1389146525,generic,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,hard-027,1389146525,rm4d_only,hard,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,hard-027,1389146525,no_occlusion,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,hard-027,1389146525,no_cost,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,moderate-027,107046518,ours,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,moderate-027,107046518,rm4d_only,moderate,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,moderate-027,107046518,fixed,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,moderate-027,107046518,generic,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,easy-028,785958616,generic,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,easy-028,785958616,ours,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,easy-028,785958616,fixed,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,easy-028,785958616,rm4d_only,easy,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,hard-028,1021949288,rm4d_only,hard,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,hard-028,1021949288,ours,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,hard-028,1021949288,fixed,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,hard-028,1021949288,generic,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,hard-028,1021949288,no_cost,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,hard-028,1021949288,no_occlusion,hard,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,moderate-028,1053579544,fixed,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,moderate-028,1053579544,generic,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,moderate-028,1053579544,ours,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,moderate-028,1053579544,rm4d_only,moderate,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,easy-029,2095744990,fixed,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,easy-029,2095744990,generic,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
