slot,scene,seed,method,tier,status,retrieval_success,selected_attempt,invalid_activation_count,D_env_applicable,first_discovery_window,D_env,D_exec,C_env_count_final,C_env_count_max,T_first_env_sim,T_active_sim,T_task_sim,T_exec_ready_sim,metrics_terminal_status,failure_stage,failure_reason,capture_calls,discarded_windows,completed_windows,voted_windows,sensing_visits,sensing_rescans,nbv_moves,initial_outbound,return_actions,uav_active_distance_m,uav_active_complete,uav_active_missing_samples,uav_active_gap_count,uav_active_observed_distance_lower_bound_m,uav_total_distance_m,uav_total_complete,uav_total_missing_samples,uav_total_gap_count,uav_total_observed_distance_lower_bound_m,ground_total_distance_m,ground_total_complete,ground_total_missing_samples,ground_total_gap_count,ground_total_observed_distance_lower_bound_m,stage_preflight_status,stage_preflight_duration_sim_s,stage_takeoff_status,stage_takeoff_duration_sim_s,stage_initial_view_status,stage_initial_view_duration_sim_s,stage_aerial_observe_status,stage_aerial_observe_duration_sim_s,stage_initial_query_status,stage_initial_query_duration_sim_s,stage_active_status,stage_active_duration_sim_s,stage_return_status,stage_return_duration_sim_s,stage_landing_status,stage_landing_duration_sim_s,stage_ground_navigation_status,stage_ground_navigation_duration_sim_s,stage_ground_refine_status,stage_ground_refine_duration_sim_s,stage_refined_pregrasp_status,stage_refined_pregrasp_duration_sim_s,stage_descend_status,stage_descend_duration_sim_s,stage_close_status,stage_close_duration_sim_s,stage_lift_status,stage_lift_duration_sim_s,stage_retention_status,stage_retention_duration_sim_s
308,easy-022,274451619,rm4d_only,easy,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,moderate-023,256870585,generic,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,moderate-023,256870585,ours,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,moderate-023,256870585,rm4d_only,moderate,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,moderate-023,256870585,fixed,moderate,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,easy-023,649848317,ours,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,easy-023,649848317,rm4d_only,easy,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,easy-023,649848317,fixed,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,easy-023,649848317,generic,easy,NOT_RUN,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,hard-023,353762560,rm4d_only,hard,NOT_RUN,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
